,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,timezone
0,0.0,DE,2024-08-21 00:39:35.534398,374.06,748.12,1.0,2024-08-22 01:21:04.395000+10:00,375.94,751.88,1.03,2.0,completed,1.005,0.95,1.007,1.7299999999999909,FA1956DF73E03B2000,FA1956E75EBF44A000,FA1956E877FC84A000,FA1956EEE2AC3B2000,Australia/Melbourne
1,3.0,AMT,2024-08-17 01:04:42.282858,220.04,440.08,1.0,1971-01-01 00:00:00,,0.0,0.0,2.0,bought,1.005,0.95,1.005,0.0,FA1951CACA1BBB2000,FA1951CB1EE044A000,FA1951CB1F203B2000,,Australia/Melbourne
2,4.0,CME,2024-08-17 02:44:57.965278,207.86,623.58,1.0,2024-08-20 06:41:51.057000,208.9,626.7,1.03,3.0,completed,1.005,0.95,1.005,1.0900000000000043,FA1951E1BCC384A000,FA1951E253C07B2000,FA1951E5847EC4A000,,Australia/Melbourne
3,47.0,OXY,2024-08-21 23:31:47.088357+10:00,56.5099983215332,904.1599731445312,0.0,0001-01-01 00:00:00,,0.0,0.0,16.0,created,1.005,0.95,1.007,0.0,,,,,
4,48.0,BSX,2024-08-21 23:32:24.292979+10:00,78.58000183105469,942.9600219726562,0.0,0001-01-01 00:00:00,,0.0,0.0,12.0,created,1.005,0.95,1.007,0.0,,,,,
5,49.0,HLT,2024-08-21 23:32:28.715365+10:00,214.10000610351562,856.4000244140625,0.0,0001-01-01 00:00:00,,0.0,0.0,4.0,created,1.005,0.95,1.007,0.0,,,,,
6,50.0,NXPI,2024-08-21 23:32:32.385421+10:00,257.6000061035156,772.8000183105469,0.0,0001-01-01 00:00:00,,0.0,0.0,3.0,created,1.005,0.95,1.007,0.0,,,,,
7,51.0,EL,2024-08-21 23:32:36.832488+10:00,92.14,921.4,1.02,0001-01-01 00:00:00,,0.0,0.0,10.0,bought,1.005,0.95,1.007,0.0,FA195825A91F04A000,,,,
8,47.0,OXY,2024-08-21 23:51:50.169286+10:00,56.17499923706055,954.9749870300293,0.0,0001-01-01 00:00:00,,0.0,0.0,17.0,created,1.005,0.95,1.007,0.0,,FA19582AC4553B2000,,,
9,48.0,EOG,2024-08-21 23:52:01.364492+10:00,125.51000213623047,878.5700149536133,0.0,0001-01-01 00:00:00,,0.0,0.0,7.0,created,1.005,0.95,1.007,0.0,,,,,
10,49.0,NUE,2024-08-21 23:52:06.134413+10:00,144.97000122070312,869.8200073242188,0.0,0001-01-01 00:00:00,,0.0,0.0,6.0,created,1.005,0.95,1.007,0.0,,,,,
11,50.0,SLB,2024-08-21 23:52:25.400731+10:00,44.22999954223633,928.8299903869629,0.0,0001-01-01 00:00:00,,0.0,0.0,21.0,created,1.005,0.95,1.007,0.0,,,,,
12,51.0,STZ,2024-08-21 23:52:33.330832+10:00,244.13999938964844,732.4199981689453,0.0,0001-01-01 00:00:00,,0.0,0.0,3.0,created,1.005,0.95,1.007,0.0,,,,,
13,52.0,CMG,2024-08-21 23:52:36.658336+10:00,52.86000061035156,951.4800109863281,0.0,0001-01-01 00:00:00,,0.0,0.0,18.0,created,1.005,0.95,1.007,0.0,,,,,
14,53.0,PH,2024-08-21 23:52:41.095624+10:00,582.4237060546875,582.4237060546875,0.0,0001-01-01 00:00:00,,0.0,0.0,1.0,created,1.005,0.95,1.007,0.0,,,,,
15,54.0,MSCI,2024-08-21 23:52:46.550548+10:00,561.5651245117188,561.5651245117188,0.0,0001-01-01 00:00:00,,0.0,0.0,1.0,created,1.005,0.95,1.007,0.0,,,,,
16,55.0,APD,2024-08-21 23:52:50.237749+10:00,274.87811279296875,824.6343383789062,0.0,0001-01-01 00:00:00,,0.0,0.0,3.0,created,1.005,0.95,1.007,0.0,,,,,
17,56.0,CVX,2024-08-21 23:52:57.062564+10:00,145.49000549316406,872.9400329589844,0.0,0001-01-01 00:00:00,,0.0,0.0,6.0,created,1.005,0.95,1.007,0.0,,,,,
18,57.0,OXY,2024-08-21 23:54:06.336294+10:00,56.2087,955.5479,1.04,2024-08-22 01:21:04.395000+10:00,375.94,751.88,1.03,17.0,completed,1.005,0.95,1.007,-205.73790000000002,FA19582A946244A000,FA1956E75EBF44A000,FA19582C2F87C4A000,,
19,47.0,OXY,2024-08-22 00:30:29.077893+10:00,56.5099983215332,904.1599731445312,0.0,0001-01-01 00:00:00,,0.0,0.0,16.0,created,1.005,0.95,1.007,0.0,,,,,
20,,,,,,,,,,,,,,,,,,,,,
21,49.0,NUE,2024-08-22 00:30:44.256719+10:00,144.98300170898438,869.8980102539062,0.0,0001-01-01 00:00:00,,0.0,0.0,6.0,created,1.005,0.95,1.007,0.0,,,,,
22,50.0,VLO,2024-08-22 00:30:53.119530+10:00,143.6999969482422,862.1999816894531,0.0,0001-01-01 00:00:00,,0.0,0.0,6.0,created,1.005,0.95,1.007,0.0,,,,,
23,51.0,MPC,2024-08-22 00:30:57.410789+10:00,172.98500061035156,864.9250030517578,0.0,0001-01-01 00:00:00,,0.0,0.0,5.0,created,1.005,0.95,1.007,0.0,,,,,
24,52.0,SLB,2024-08-22 00:31:08.838372+10:00,44.47010040283203,889.4020080566406,0.0,0001-01-01 00:00:00,,0.0,0.0,20.0,created,1.005,0.95,1.007,0.0,,,,,
25,53.0,PH,2024-08-22 00:31:19.137296+10:00,586.4349975585938,586.4349975585938,0.0,0001-01-01 00:00:00,,0.0,0.0,1.0,created,1.005,0.95,1.007,0.0,,,,,
26,48.0,EOG,2024-08-22 00:30:39.779710+10:00,126.26,883.82,1.01,0001-01-01 00:00:00,,0.0,0.0,7.0,bought,1.005,0.95,1.007,0.0,FA195832F268FB2000,,FA19583383217B2000,,
27,47.0,OXY,2024-08-22 00:33:19.263204+10:00,56.55500030517578,904.8800048828125,0.0,0001-01-01 00:00:00,,0.0,0.0,16.0,created,1.005,0.95,1.007,0.0,,,,,
28,48.0,EOG,2024-08-22 00:30:39.779710+10:00,126.26,883.82,1.01,0001-01-01 00:00:00,,0.0,0.0,7.0,bought,1.005,0.95,1.007,0.0,FA195832F268FB2000,FA1958344B527B2000,FA19583383217B2000,,
29,47.0,OXY,2024-08-22 00:37:10.912273+10:00,56.650001525878906,906.4000244140625,0.0,0001-01-01 00:00:00,,0.0,0.0,16.0,created,1.005,0.95,1.007,0.0,,,,,
