,id,ticker,buy_time,buy_price,buy_sum,buy_commission,sell_time,sell_price,sell_sum,sell_commission,stocks_number,status,gain_coef,lose_coef,trailing_LIT_gain_coef,profit,buy_order_id,limit_if_touched_order_id,stop_order_id,trailing_LIT_order_id,timezone
0,0,DE,39:00.0,374.06,748.12,1,21:00.0,375.94,751.88,1.03,2,completed,1.005,0.95,1.007,1.73,FA1956DF73E03B2000,FA1956E75EBF44A000,FA1956E877FC84A000,FA1956EEE2AC3B2000,Australia/Melbourne
1,1,AMT,04:00.0,220.04,440.08,1,26:37.0,221.15,442.3,0.04,2,completed,1.005,0.95,1.005,1.18,FA1951CACA1BBB2000,FA1958EED98D44A000,FA1951CB1F203B2000,,Australia/Melbourne
2,2,CME,44:00.0,207.86,623.58,1,41:00.0,208.9,626.7,1.03,3,completed,1.005,0.95,1.005,1.09,FA1951E1BCC384A000,FA1951E253C07B2000,FA1951E5847EC4A000,,Australia/Melbourne
3,3,EL,32:00.0,92.14,921.4,1.02,21:00.0,,926.1,0,10,completed,1.005,0.95,1.007,3,FA195825A91F04A000,FA19582868EDBB2000,,,Australia/Melbourne
4,4,OXY,54:00.0,56.2087,955.5479,1.04,21:00.0,375.94,960.67,1.03,17,completed,1.005,0.95,1.007,3.05,FA19582A946244A000,FA1956E75EBF44A000,FA19582C2F87C4A000,,Australia/Melbourne
5,5,EOG,30:00.0,126.26,883.82,1.01,39:24.4,126.9409,888.5863,0.05,7,completed,1.005,0.95,1.007,3.7063,FA195832F268FB2000,FA1958EE17A944A000,FA19583383217B2000,,Australia/Melbourne
6,6,SLB,37:00.0,44.59,891.8,1.05,00:00.0,,0,0,20,bought,1.005,0.95,1.007,0,FA19583495733B2000,FA1958EED5DB3B2000,FA195834E6D27B2000,,Australia/Melbourne
7,41,MRNA,43:43.2,82.46,1401.82,0.05,00:00.0,,0,0,17,bought,1.005,0.95,1.005,0,FA195ABB6245FB2000,,,,E. Australia Standard Time
8,28,NXPI,36:11.0,252.4829,1262.4145,0.02,00:00.0,,0,0,5,bought,1.005,0.95,1.007,0,FA195AC7644AFB2000,,FA195ABBA9777B2000,,E. Australia Standard Time
9,25,ON,45:38.9,76.09,1141.35,1.111,00:00.0,,0,0,15,placed,1.005,0.95,1.007,0,FA195AC98ECDFB2000,,,,E. Australia Standard Time
10,26,AMD,45:42.6,155.37,1087.59,0.02,00:00.0,,0,0,7,bought,1.005,0.95,1.007,0,FA195AC992643B2000,,,,E. Australia Standard Time
