,code,stock_name,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,aux_price,trail_type,trail_value,trail_spread,currency
0,US.QCOM,Qualcomm,BUY,MARKET,FILLED_ALL,2031396,1.0,0.0,2024-08-12 12:00:07,2024-08-12 12:00:10,1.0,163.13,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
1,US.MCK,McKesson,BUY,MARKET,FILLED_ALL,2031395,1.0,0.0,2024-08-12 10:53:29,2024-08-12 10:53:32,1.0,552.3,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
2,US.UNH,UnitedHealth,BUY,MARKET,FILLED_ALL,2031394,1.0,0.0,2024-08-12 10:53:16,2024-08-12 10:53:20,1.0,566.17,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
3,US.MCK,McKesson,SELL,MARKET,FILLED_ALL,2031393,1.0,0.0,2024-08-12 10:50:08,2024-08-12 10:50:13,1.0,550.75,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
4,US.UNH,UnitedHealth,SELL,MARKET,FILLED_ALL,2031392,1.0,0.0,2024-08-12 10:49:56,2024-08-12 10:50:01,1.0,566.87,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
5,US.UNH,UnitedHealth,BUY,MARKET,FILLED_ALL,2031390,1.0,0.0,2024-08-12 09:49:48,2024-08-12 09:49:48,1.0,564.27,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
6,US.UNH,UnitedHealth,SELL,MARKET,FILLED_ALL,2031389,1.0,0.0,2024-08-12 09:46:27,2024-08-12 09:46:30,1.0,564.52,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
7,US.UNH,UnitedHealth,BUY,MARKET,FILLED_ALL,2031388,1.0,0.0,2024-08-12 09:33:03,2024-08-12 09:33:04,1.0,562.82,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
8,US.SRE,Sempra Energy,SELL,MARKET,FILLED_ALL,2031332,1.0,0.0,2024-08-09 13:30:58,2024-08-09 13:31:02,1.0,78.36,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
9,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031302,1.0,0.0,2024-08-09 10:53:09,2024-08-09 10:53:10,1.0,162.04,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
10,US.VRTX,Vertex Pharmaceuticals,BUY,MARKET,FILLED_ALL,2031300,1.0,0.0,2024-08-09 10:33:53,2024-08-09 10:33:56,1.0,468.44,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
11,US.MCK,McKesson,BUY,MARKET,FILLED_ALL,2031299,1.0,0.0,2024-08-09 10:30:29,2024-08-09 10:30:30,1.0,546.55,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
12,US.AAPL,Apple,BUY,MARKET,FILLED_ALL,2031298,1.0,0.0,2024-08-09 10:22:22,2024-08-09 10:22:26,1.0,214.23,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
13,US.AAPL,Apple,BUY,MARKET,FILLED_ALL,2031297,1.0,0.0,2024-08-09 10:21:59,2024-08-09 10:22:01,1.0,214.36,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
14,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031296,1.0,0.0,2024-08-09 10:21:05,2024-08-09 10:21:09,1.0,162.08,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
15,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031295,1.0,0.0,2024-08-09 10:20:21,2024-08-09 10:20:25,1.0,162.03,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
16,US.JPM,JPMorgan,BUY,MARKET,FILLED_ALL,2031294,1.0,0.0,2024-08-09 10:20:13,2024-08-09 10:20:17,1.0,205.31,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
17,US.JPM,JPMorgan,BUY,MARKET,FILLED_ALL,2031293,1.0,0.0,2024-08-09 10:19:33,2024-08-09 10:19:36,1.0,205.3,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
18,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031292,1.0,0.0,2024-08-09 10:19:06,2024-08-09 10:19:08,1.0,162.06,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
19,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031291,1.0,0.0,2024-08-09 10:16:51,2024-08-09 10:16:55,1.0,162.03,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
20,US.GOOG,Alphabet-C,BUY,MARKET,FILLED_ALL,2031290,1.0,0.0,2024-08-09 10:15:29,2024-08-09 10:15:30,1.0,162.25,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
21,US.AAPL,Apple,BUY,MARKET,CANCELLED_ALL,2031177,1.0,0.0,2024-08-07 04:54:44,2024-08-07 04:54:44,0.0,0.0,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
