,ticker,profit,wins,loses,proportion
9,HD,658.2924182304386,7,0,7.0
59,C,578.6239513335229,6,0,6.0
46,SBUX,571.9455856029517,6,0,6.0
49,DE,534.940460163117,6,0,6.0
14,CRM,472.6351957975387,5,0,5.0
78,SHW,464.3123823097234,5,0,5.0
118,CHTR,447.62147808105556,9,3,3.0
95,FTNT,437.6161994972425,6,1,6.0
44,IBM,383.4349562610629,4,0,4.0
91,PNC,381.0896545148854,4,0,4.0
25,ORCL,380.4909340936667,4,0,4.0
120,SPG,379.16615944690756,4,0,4.0
41,BA,374.1024079513555,7,2,3.5
65,CB,368.33118014946024,4,0,4.0
114,ANET,365.52246397419,4,0,4.0
74,APD,363.33591398506184,4,0,4.0
109,ON,355.28341486639147,8,3,2.6666666666666665
113,MRNA,346.20744014854586,11,5,2.2
28,WFC,344.0711832118037,5,1,5.0
110,COF,340.0593054496769,5,1,5.0
45,AMAT,338.57216583480874,5,1,5.0
48,MS,337.4438738159183,5,1,5.0
121,DHI,337.05621695297265,5,1,5.0
34,LOW,331.78632803077767,5,1,5.0
39,QCOM,304.41542558155174,6,2,3.0
56,ADI,288.5577601249697,3,0,3.0
63,ETN,286.8196393478399,3,0,3.0
89,MCO,280.3118381195073,3,0,3.0
90,NSC,279.253010960084,6,2,3.0
26,CMCSA,248.1159320734982,4,1,4.0
69,PANW,243.57785075866724,4,1,4.0
40,CAT,241.93871185089168,4,1,4.0
108,IDXX,238.64967539978073,4,1,4.0
32,INTC,214.37315218697609,8,4,2.0
20,ACN,212.23402227859543,4,1,4.0
13,ADBE,212.02767614410448,4,1,4.0
100,ADSK,196.39739220405613,5,2,2.5
94,APH,195.01257211818688,2,0,2.0
115,WMB,194.40969307036414,2,0,2.0
72,CSX,194.38030861215617,2,0,2.0
33,RTX,193.32391993217468,2,0,2.0
112,AIG,193.05871689949066,2,0,2.0
106,PCAR,192.93529558010124,2,0,2.0
2,XOM,192.2988653205873,2,0,2.0
57,TJX,192.2087552364353,2,0,2.0
17,CSCO,192.18304309988022,2,0,2.0
111,CTAS,190.26664942932152,2,0,2.0
1,JPM,189.61944423637397,2,0,2.0
47,NOW,187.02572641296416,2,0,2.0
21,NFLX,186.00238582443274,5,2,2.5
10,MRK,185.46440877857222,2,0,2.0
55,SYK,177.6301182254793,2,0,2.0
51,GS,175.08464155426054,2,0,2.0
102,TDG,154.51440621185304,2,0,2.0
0,GOOG,153.81971469909737,3,1,3.0
85,CMG,148.5337464780811,3,1,3.0
80,HCA,146.15186227111846,3,1,3.0
50,BLK,119.80559761688278,4,2,2.0
82,FDX,97.51999657058715,1,0,1.0
30,PM,97.4566028062821,1,0,1.0
31,VZ,97.35134889078141,1,0,1.0
67,BSX,97.26140806989662,1,0,1.0
43,GE,96.31436140565879,1,0,1.0
71,AON,95.82987183151269,1,0,1.0
119,WELL,95.43513251695637,1,0,1.0
22,ABT,94.26707790756242,1,0,1.0
12,ABBV,94.17060008697501,1,0,1.0
92,PH,94.05550704345721,1,0,1.0
6,PG,93.87772942256936,1,0,1.0
76,ICE,93.57497460536969,1,0,1.0
105,TT,93.55302605438233,1,0,1.0
103,ECL,93.37671127166742,1,0,1.0
117,HLT,92.95846584777841,1,0,1.0
42,ISRG,92.89428958465625,4,2,2.0
3,JNJ,92.82084397544868,1,0,1.0
24,LIN,92.03137543487549,1,0,1.0
16,MCD,91.50096936950702,1,0,1.0
4,V,89.5311963043214,1,0,1.0
29,DHR,88.30739747200028,1,0,1.0
11,COST,87.910125,1,0,1.0
8,MA,86.33312641296394,1,0,1.0
36,INTU,82.16927693481459,1,0,1.0
53,LMT,80.06824823913593,1,0,1.0
66,REGN,67.81078380432133,1,0,1.0
122,ROK,64.80994476196305,2,1,2.0
18,BAC,64.53024239276007,5,3,1.6666666666666667
86,GM,62.82983730417328,5,3,1.6666666666666667
99,PSX,57.83153538574237,2,1,2.0
35,UPS,56.06970643524171,2,1,2.0
93,MPC,54.51253007240295,2,1,2.0
107,CARR,52.94281754751209,2,1,2.0
5,AVGO,49.33976426696823,2,1,2.0
38,NKE,23.203102350655556,6,4,1.5
23,AMD,20.79821864616477,6,4,1.5
83,F,20.537310404492672,6,4,1.5
61,LRCX,20.346644394836616,3,2,1.5
75,KLAC,19.638518810577423,2,1,2.0
79,WM,0.0,0,0,0.0
15,WMT,0.0,0,0,0.0
64,FI,0.0,0,0,0.0
73,PGR,0.0,0,0,0.0
97,MAR,0.0,0,0,0.0
101,AZO,0.0,0,0,0.0
98,GD,0.0,0,0,0.0
77,CL,0.0,0,0,0.0
60,VRTX,0.0,0,0,0.0
62,TMUS,0.0,0,0,0.0
104,AJG,0.0,0,0,0.0
87,MCK,0.0,0,0,0.0
7,LLY,-20.67358970214825,1,1,1.0
27,TXN,-37.2589118902586,1,1,1.0
37,SPGI,-42.322973610534746,1,1,1.0
54,AXP,-43.62402547851545,1,1,1.0
116,IQV,-75.44951452102589,2,2,1.0
88,NXPI,-80.28370301925612,2,2,1.0
96,MCHP,-87.8986237782667,2,2,1.0
70,MU,-121.24122764430973,3,3,1.0
68,EQIX,-130.38890091751074,3,3,1.0
19,TMO,-135.36999955810526,0,1,0.0
58,GILD,-183.11725762487367,1,2,0.5
84,MMM,-224.77083831138563,2,3,0.6666666666666666
52,T,-228.64678638616522,2,3,0.6666666666666666
81,FCX,-268.75252254238023,3,4,0.75
