,code,stock_name,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,aux_price,trail_type,trail_value,trail_spread,currency
0,US.ON,ON Semiconductor,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AFAB86CC4A000,11.0,75.53,2024-08-23 14:20:26.872,2024-08-23 14:21:49.213,0.0,0.0,,,GTC,False,75.51,N/A,N/A,N/A,USD
1,US.APH,Amphenol,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF8485DFB2000,12.0,66.84,2024-08-23 14:09:47.834,2024-08-23 14:26:51.303,0.0,0.0,,,GTC,False,66.825,N/A,N/A,N/A,USD
2,US.PYPL,PayPal,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF8451EFB2000,11.0,71.37,2024-08-23 14:09:44.512,2024-08-23 14:27:04.290,0.0,0.0,,,GTC,False,71.35,N/A,N/A,N/A,USD
3,US.MNST,Monster Beverage,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF83F5B7B2000,18.0,46.55,2024-08-23 14:09:38.609,2024-08-23 14:27:06.634,0.0,0.0,,,GTC,False,46.54,N/A,N/A,N/A,USD
4,US.IBM,IBM Corp,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF83BA6FB2000,4.0,194.84,2024-08-23 14:09:34.816,2024-08-23 14:27:09.540,0.0,0.0,,,GTC,False,194.81,N/A,N/A,N/A,USD
5,US.TEL,TE Connectivity,BUY,LIMIT_IF_TOUCHED,FILLED_ALL,FA195AF8385384A000,5.0,152.14,2024-08-23 14:09:31.410,2024-08-23 14:22:56.357,5.0,152.14,,,GTC,False,152.11,N/A,N/A,N/A,USD
6,US.APD,Air Products & Chemicals,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF832D8C4A000,3.0,274.68,2024-08-23 14:09:25.800,2024-08-23 14:27:28.966,0.0,0.0,,,GTC,False,274.63,N/A,N/A,N/A,USD
7,US.GOOG,Alphabet-C,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF82C3504A000,5.0,166.33,2024-08-23 14:09:19.002,2024-08-23 14:27:12.871,0.0,0.0,,,GTC,False,166.3,N/A,N/A,N/A,USD
8,US.QCOM,Qualcomm,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF8249884A000,4.0,171.66,2024-08-23 14:09:11.206,2024-08-23 14:27:26.318,0.0,0.0,,,GTC,False,171.63,N/A,N/A,N/A,USD
9,US.NOW,ServiceNow,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF81A67FB2000,1.0,821.61,2024-08-23 14:09:00.771,2024-08-23 14:27:19.211,0.0,0.0,,,GTC,False,821.485,N/A,N/A,N/A,USD
10,US.KLAC,KLA Corp,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF80E7D44A000,1.0,811.16,2024-08-23 14:08:48.571,2024-08-23 14:27:21.571,0.0,0.0,,,GTC,False,811.0334,N/A,N/A,N/A,USD
11,US.WMT,Walmart,BUY,LIMIT_IF_TOUCHED,WAITING_SUBMIT,FA195AF80B4744A000,11.0,75.13,2024-08-23 14:08:45.281,2024-08-23 14:08:45.471,0.0,0.0,,,GTC,False,75.11,N/A,N/A,N/A,USD
12,US.AVGO,Broadcom,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF806C244A000,5.0,164.25,2024-08-23 14:08:40.653,2024-08-23 14:27:23.742,0.0,0.0,,,GTC,False,164.225,N/A,N/A,N/A,USD
13,US.LRCX,Lam Research,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF8015E84A000,1.0,849.55,2024-08-23 14:08:35.134,2024-08-23 14:27:33.491,0.0,0.0,,,GTC,False,849.42,N/A,N/A,N/A,USD
14,US.ANET,Arista Networks,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF7FDACC4A000,2.0,352.06,2024-08-23 14:08:31.352,2024-08-23 14:27:31.262,0.0,0.0,,,GTC,False,352.0,N/A,N/A,N/A,USD
15,US.ADI,Analog Devices,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF7FA5B3B2000,3.0,226.45,2024-08-23 14:08:27.953,2024-08-23 14:27:36.033,0.0,0.0,,,GTC,False,226.41,N/A,N/A,N/A,USD
16,US.AMAT,Applied Materials,BUY,LIMIT_IF_TOUCHED,WAITING_SUBMIT,FA195AF7F718FB2000,4.0,202.47,2024-08-23 14:08:24.617,2024-08-23 14:08:24.802,0.0,0.0,,,GTC,False,202.43,N/A,N/A,N/A,USD
17,US.MCHP,Microchip Technology,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF7EDD504A000,10.0,81.5,2024-08-23 14:08:15.128,2024-08-23 14:20:29.177,0.0,0.0,,,GTC,False,81.48,N/A,N/A,N/A,USD
18,US.ON,ON Semiconductor,BUY,LIMIT_IF_TOUCHED,CANCELLED_ALL,FA195AF7E96B3B2000,11.0,75.53,2024-08-23 14:08:10.609,2024-08-23 14:18:43.722,0.0,0.0,,,GTC,False,75.51,N/A,N/A,N/A,USD
19,US.CMG,Chipotle Mexican Grill,SELL,STOP,WAITING_SUBMIT,FA195AE22108FB2000,18.0,0.0,2024-08-23 12:33:00.390,2024-08-23 12:33:00.618,0.0,0.0,,,GTC,False,51.0428,N/A,N/A,N/A,USD
