,code,stock_name,trd_side,order_type,order_status,order_id,qty,price,create_time,updated_time,dealt_qty,dealt_avg_price,last_err_msg,remark,time_in_force,fill_outside_rth,aux_price,trail_type,trail_value,trail_spread,currency
0,US.IDXX,IDEXX Laboratories Inc,BUY,MARKET,FILLED_ALL,2031559,1.0,0.0,2024-08-15 13:55:21,2024-08-15 13:55:22,1.0,486.49,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
1,US.IDXX,IDEXX Laboratories Inc,SELL,MARKET,FILLED_ALL,2031558,1.0,0.0,2024-08-15 13:48:41,2024-08-15 13:48:43,1.0,486.13,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
2,US.IDXX,IDEXX Laboratories Inc,BUY,MARKET,FILLED_ALL,2031553,1.0,0.0,2024-08-15 11:25:09,2024-08-15 11:25:11,1.0,485.47,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
3,US.ROP,Roper Technologies,SELL,MARKET,FILLED_ALL,2031513,1.0,0.0,2024-08-14 11:54:34,2024-08-14 11:54:39,1.0,526.95,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
4,US.VRTX,Vertex Pharmaceuticals,SELL,MARKET,FILLED_ALL,2031509,1.0,0.0,2024-08-14 10:11:02,2024-08-14 10:11:04,1.0,469.77,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
5,US.WM,Waste Management,SELL,MARKET,FILLED_ALL,2031508,1.0,0.0,2024-08-14 10:01:02,2024-08-14 10:01:06,1.0,205.35,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
6,US.UNH,UnitedHealth,SELL,MARKET,FILLED_ALL,2031507,1.0,0.0,2024-08-14 09:54:11,2024-08-14 09:54:14,1.0,577.87,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
7,US.GD,General Dynamics,SELL,MARKET,FILLED_ALL,2031506,1.0,0.0,2024-08-14 09:51:05,2024-08-14 09:51:08,1.0,294.02,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
8,US.ELV,Elevance Health,SELL,MARKET,FILLED_ALL,2031505,1.0,0.0,2024-08-14 09:40:51,2024-08-14 09:40:54,1.0,531.41,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
9,US.CI,The Cigna Group,SELL,MARKET,FILLED_ALL,2031502,1.0,0.0,2024-08-14 09:30:50,2024-08-14 09:30:52,1.0,332.74,,,DAY,N/A,N/A,N/A,N/A,N/A,USD
