,ticker,figi,type,name,country_of_rick
0,CNX,BBG000CKVSG8,shares,CNX Resources Corporation,US
1,SLM,BBG000BBCQD7,shares,SLM Corp,US
2,ACLS,BBG000DW34S2,shares,Axcelis Technologies,US
3,AMPH,BBG000BW90S6,shares,Amphastar Pharmaceuticals,US
4,RELY,BBG012C7JST2,shares,Remitly Global,US
5,MDT,BBG000BNWG87,shares,Medtronic,US
6,AJG,BBG000BBHXQ3,shares,Arthur J. Gallagher & Co,US
7,GWRE,BBG001C7PM75,shares,Guidewire Software Inc,US
8,PAYC,BBG0064N0ZZ5,shares,Paycom Software Inc,US
9,NCNO,BBG014GJ8XH2,shares,nCino,US
10,DNLI,BBG008P7F869,shares,Denali Therapeutics Inc,US
11,MTD,BBG000BZCKH3,shares,Mettler Toledo,US
12,THS,BBG000GQGJT4,shares,TreeHouse Foods Inc,US
13,APH,BBG000B9YJ35,shares,Amphenol,US
14,AVT,BBG000BCPB71,shares,Avnet,US
15,DPZ,BBG000P458P3,shares,Domino's Pizza Inc,US
16,C,BBG000FY4S11,shares,Citigroup,US
17,R,BBG000BRVP70,shares,Ryder System,US
18,IP,BBG000BM5SR2,shares,International Paper,US
19,KEX,BBG000BMQCP6,shares,Kirby Corp,US
20,EPC,BBG000BRW644,shares,Edgewell Personal Care Co,US
21,WGO,BBG000BWS3F3,shares,Winnebago Industries Inc,US
22,BCRX,BBG000BLYWX6,shares,BioCryst Pharmaceuticals,US
23,MLAB,BBG000BP3PW7,shares,Mesa Laboratories Inc,US
24,VNT,BBG00RRGSJR4,shares,Vontier Corporation,US
25,ETD,BBG000BBVDT8,shares,Ethan Allen Interiors Inc,US
26,KZIZP,TCS007940839,shares,Красногорский завод им. С.А. Зверева - привилегированные акции,RU
27,OGN,BBG00ZQRGW24,shares,Organon & Co.,US
28,BMY,BBG000DQLV23,shares,Bristol-Myers Squibb,US
29,AVTR,BBG00G2HHYD7,shares,Avantor Inc,US
30,WTW,BBG000DB3KT1,shares,Willis Towers Watson,US
31,APLE,BBG006473QX9,shares,Apple Hospitality REIT,US
32,CHE,BBG000C19QW1,shares,Chemed Corp,US
33,CTVA,BBG00BN969C1,shares,Corteva Inc,US
34,TGTX,BBG000FVZQY1,shares,TG Therapeutics,US
35,PZZA,BBG000BFWF13,shares,Papa John's International Inc,US
36,DG,BBG000NV1KK7,shares,Dollar General,US
37,DDS,BBG000BS4MP5,shares,Dillard's Inc,US
38,RH,BBG002293PJ4,shares,RH,US
39,BWA,BBG000BJ49H3,shares,BorgWarner,US
40,CNH,TCS110545661,shares,CNH Industrial N.V.,GB
41,IRM,BBG000KCZPC3,shares,Iron Mountain REIT,US
42,FATE,BBG000QP35H2,shares,Fate Therapeutics Inc,US
43,ABM,BBG000B9YYH7,shares,ABM Industries,US
44,WSO,BBG000DJN7L9,shares,Watsco Inc,US
45,6690,BBG00Y6QRDM9,shares,Haier Smart Home,CN
46,CENTA,BBG000KTYB56,shares,Central Garden & Pet Co,US
47,CVM,BBG000H5G6L5,shares,CEL SCI Corporation,US
48,SNY,BBG000BBD5N1,shares,Sanofi,FR
49,FLGT,BBG00DR7LTG2,shares,Fulgent Genetics,US
50,BOH,BBG000C8D8G9,shares,Bank of Hawaii,US
51,DXCM,BBG000QTF8K1,shares,DexCom Inc,US
52,FAF,BBG000V78V75,shares,First American Financial Corporation,US
53,IRKT,BBG000FWGSZ5,shares,Яковлев,RU
54,OVV,BBG00R2NHQ65,shares,Ovintiv Inc.,US
55,VAL,BBG010JW9K49,shares,Valaris Limited,BM
56,BJ,BBG00FQ8T4G3,shares,"BJs Wholesale Club Holdings, Inc.",US
57,IRBT,BBG000HXJB21,shares,iRobot Corp,US
58,ALE,BBG000CYW7N5,shares,"ALLETE, Inc.",US
59,HPQ,BBG000KHWT55,shares,HP,US
60,NTR,BBG00JM9XLN6,shares,Nutrien,CA
61,AOUT,BBG00QV8FS02,shares,American Outdoor Brands Inc,US
62,SAGE,BBG0025X16Y5,shares,Sage Therapeutics Inc,US
63,BIGC,BBG00W1PSSJ0,shares,BigCommerce Holdings,US
64,HEAR,BBG000BM6N47,shares,Turtle Beach Corp,US
65,1061,BBG000JHS2L3,shares,Essex Bio-Technology,
66,CAT,BBG000BF0K17,shares,Caterpillar,US
67,YUMC,BBG00B8N0HG1,shares,Yum China Holdings,CN
68,EGRX,BBG005Y3XWH9,shares,Eagle Pharmaceuticals Inc,US
69,VSMO,BBG004S68CV8,shares,ВСМПО-АВИСМА,RU
70,AZTA,BBG000DX9JV7,shares,Azenta,US
71,BDTX,BBG00MS4Y0W9,shares,Black Diamond Therapeutics Inc,US
72,WK,BBG007BVZ8H9,shares,Workiva Inc,US
73,STWD,BBG000M1J270,shares,Starwood Property Trust REIT,US
74,UNAC,BBG000Q7ZZY2,shares,Объединенная авиастроительная корпорация,RU
75,TPR,BBG000BY29C7,shares,Tapestry,US
76,NTRS,BBG000BQ74K1,shares,Northern Trust,US
77,FTCI,BBG0320C1036,shares,"FTC Solar, Inc.",US
78,SXI,BBG000BTT5B8,shares,Standex International Corp,US
79,PLXS,BBG000BRBX66,shares,Plexus Corp,US
80,APPF,BBG008GC8CP6,shares,Appfolio Inc,US
81,BLDP,BBG000BNJRZ8,shares,Ballard Power Systems,CA
82,TT,BBG000BM6788,shares,Trane Technologies,US
83,NXST,BBG000DZJVH0,shares,Nexstar Media Group Inc,US
84,ARRY,BBG001V4SF46,shares,Array Technologies,US
85,UPS,BBG000L9CV04,shares,United Parcel Service,US
86,MBUU,BBG005PXTR70,shares,Malibu Boats Inc,US
87,ARI,BBG000NFPF36,shares,Apollo Commercial Real Estate,US
88,ZBH,BBG000BKPL53,shares,Zimmer Biomet Holdings,US
89,HSKA,BBG000BWFH48,shares,Heska Corp,US
90,CABO,BBG000F02T51,shares,Cable One,US
91,FDX,BBG000BJF1Z8,shares,FedEx,US
92,VKCO,TCS00A106YF0,shares,ВК,RU
93,CIAN@US,TCS0418T1088,shares,Циан АДР,RU
94,CNI,BBG000HS74G6,shares,Canadian National Railway Co,CA
95,ZION,BBG000BX9WL1,shares,Zions Bancorporation,US
96,PARA,BBG000C496P7,shares,Paramount Global,US
97,DBX,BBG0018SLDN0,shares,Dropbox Inc,US
98,TTLK,BBG000RJL816,shares,Таттелеком,RU
99,CNP,BBG000FDBX90,shares,CenterPoint Energy,US
100,SLAB,BBG000BB99S3,shares,Silicon Laboratories Inc,US
101,ANSS,BBG000GXZ4W7,shares,ANSYS,US
102,SDGR,BBG000T88BN2,shares,Schrodinger Inc,US
103,CROX,BBG000BLY663,shares,Crocs Inc,US
104,SJW,BBG000BT1ZY7,shares,SJW Group,US
105,OSIS,BBG000BWPR54,shares,OSI Systems Inc,US
106,SIG,BBG000C4ZZ10,shares,Signet Jewelers,US
107,HA,BBG000BC4185,shares,Hawaiian Holdings Inc,US
108,CWH,BBG00D2Z7X83,shares,"Camping World Holdings, Inc.",US
109,CLBK,BBG003222R31,shares,Columbia Financial,US
110,DLTR,BBG000BSC0K9,shares,Dollar Tree,US
111,GTX,BBG00HY28P97,shares,Garrett Motion Inc,CH
112,CHGG,BBG0014XR0N5,shares,Chegg Inc,US
113,KVYO,BBG009WR3FL5,shares,Klaviyo,US
114,FIXP@GS,TCS0835G2057,shares,Fix Price Group,RU
115,LOW,BBG000BNDN65,shares,Lowe's,US
116,MGNT,BBG004RVFCY3,shares,Магнит,RU
117,AZO,BBG000C7LMS8,shares,AutoZone,US
118,GS,BBG000C6CFJ5,shares,Goldman Sachs,US
119,175,BBG000BZ3PX4,shares,Geely Automobile Holdings,CN
120,MCO,BBG000F86GP6,shares,Moody's,US
121,CNXC,BBG00RCNQMX3,shares,Concentrix Corporation,US
122,RDY,BBG000NJ96L6,shares,Dr. Reddy's Laboratories,IN
123,SPBE,BBG002GHV6L9,shares,СПБ Биржа,RU
124,ALB,BBG000BJ26K7,shares,Albemarle,US
125,MELI,BBG000GQPB11,shares,MercadoLibre Inc,AR
126,916,BBG000P2MRM9,shares,China Longyuan Power Group,CN
127,UAA,BBG000BXM6V2,shares,Under Armour,US
128,NTLA,BBG007KC7PB0,shares,Intellia Therapeutics Inc,US
129,SVCB,TCS00A0ZZAC4,shares,Совкомбанк,RU
130,FFIN,BBG000BL8476,shares,"First Financial Bankshares, Inc.",US
131,ECPG,BBG000F369C7,shares,Encore Capital Group Inc,US
132,291,BBG000BKWM80,shares,China Resources Beer,HK
133,HIG,BBG000G0Z878,shares,Hartford Financial Services,US
134,WAT,BBG000FQRVM3,shares,Waters,US
135,KZIZ,TCS009124010,shares,Красногорский завод им. С.А. Зверева - ао,RU
136,CDW,BBG001P63B80,shares,CDW Corp,US
137,DGX,BBG000BN84F3,shares,Quest Diagnostics,US
138,HOG,BBG000BKZTP3,shares,Harley-Davidson,US
139,WELL,BBG000BKY1G5,shares,Welltower REIT,US
140,MED,BBG000BWBW76,shares,Medifast Inc,US
141,UGI,BBG000BVYN55,shares,UGI Corp,US
142,LPSN,BBG000BSV0W5,shares,LivePerson Inc,US
143,ENSG,BBG000K1T9L0,shares,Ensign Group Inc,US
144,GTLB,BBG00DHTYPH8,shares,GitLab,US
145,386,BBG000MQF8G6,shares,China Petroleum & Chemical Corp,CN
146,TEL,BBG000RGM5P1,shares,TE Connectivity,US
147,EIX,BBG000D7RKJ5,shares,Edison International,US
148,ODFL,BBG000CHSS88,shares,Old Dominion Freight Line Inc,US
149,AXSM,BBG00B6G7GL7,shares,Axsome Therapeutics Inc,US
150,PLL,BBG00YJ7NBQ1,shares,Piedmont Lithium,US
151,PRFT,BBG000BVXFK6,shares,Perficient Inc,US
152,RKT,BBG00VY1MYW7,shares,Rocket Companies,US
153,VIRT,BBG0064N2T78,shares,"Virtu Financial, Inc.",US
154,GEVO,BBG000P7S7L7,shares,Gevo,US
155,ABNB,BBG001Y2XS07,shares,"Airbnb, Inc",US
156,ETLN,BBG001M2SC01,shares,Etalon Group PLC ГДР,RU
157,2269,BBG00GTY47H0,shares,Wuxi Biologics,CN
158,700,BBG000BJ35N5,shares,Tencent Holdings,CN
159,PSMT,BBG000BTKR92,shares,"PriceSmart, Inc.",US
160,VREX,BBG00CZNLR47,shares,Varex Imaging Corp,US
161,TRMB,BBG000BNPS52,shares,Trimble Inc,US
162,WBD,BBG011386VF4,shares,Warner Bros. Discovery,US
163,CTAS,BBG000H3YXF8,shares,Cintas,US
164,SHOP,BBG008HBD923,shares,Shopify Inc,CA
165,ITGR,BBG000BW6JV4,shares,Integer Holdings Corp,US
166,YUM,BBG000BH3GZ2,shares,Yum!,US
167,TKR,BBG000BV95H9,shares,Timken Co The,US
168,HCSG,BBG000BKYVF0,shares,Healthcare Services Group Inc,US
169,ALRM,BBG007GNPYY7,shares,Alarm com Holdings Inc,US
170,KZOSP,BBG0029SG1C1,shares,Казаньоргсинтез - акции привилегированные,RU
